type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
single_family,2020,5.0,4.0,2.0,1.0,2.0,8712.0,3675.0,4.0,2019-08-16,849900.0,for_sale,2019,8,4,0
single_family,1993,4.0,3.0,2.0,1.0,2.0,6534.0,2037.0,3.0,2015-11-18,519000.0,for_sale,2015,11,31,0
single_family,2000,2.0,2.0,1.0,1.0,2.0,5227.0,1507.0,1.0,2020-10-13,425000.0,for_sale,2020,10,24,0
single_family,2020,3.0,3.0,2.0,1.0,2.0,3485.0,1736.0,2.0,2018-05-31,475000.0,for_sale,2018,5,4,0
single_family,1992,3.0,2.0,1.0,1.0,3.0,25265.0,2112.0,3.0,2018-05-31,525000.0,for_sale,2018,5,32,0
single_family,2017,3.0,3.0,2.0,1.0,3.0,8276.0,2964.0,3.0,2021-01-21,625000.0,for_sale,2021,1,7,0
single_family,1959,3.0,1.0,1.0,1.0,3.0,9583.0,1452.0,1.0,2014-10-24,470000.0,for_sale,2014,10,65,0
single_family,1981,6.0,3.0,1.0,1.0,2.0,10890.0,2604.0,2.0,2018-05-31,530000.0,for_sale,2018,5,43,0
single_family,1976,3.0,3.0,2.0,1.0,2.0,3049.0,2937.0,2.0,2020-06-23,995000.0,for_sale,2020,6,48,0
single_family,1960,4.0,3.0,1.0,1.0,2.0,8276.0,1859.0,3.0,2018-05-31,500000.0,for_sale,2018,5,64,0
single_family,2000,6.0,3.0,3.0,1.0,3.0,10019.0,4644.0,2.0,2018-05-31,849000.0,for_sale,2018,5,24,0
single_family,1910,3.0,2.0,2.0,1.0,2.0,10454.0,1323.0,2.0,2006-10-06,320000.0,for_sale,2006,10,114,0
land,2003,4.0,0.0,2.0,1.0,2.0,108900.0,2400.0,2.0,2018-05-31,49000.0,for_sale,2018,5,21,0
single_family,1978,4.0,3.0,1.0,1.0,2.0,8276.0,2726.0,2.0,2019-08-01,440000.0,for_sale,2019,8,46,0
single_family,1967,4.0,2.0,1.0,1.0,2.0,10019.0,1968.0,2.0,2023-03-03,459900.0,for_sale,2023,3,57,0
single_family,2017,3.0,3.0,2.0,1.0,2.0,10454.0,4042.0,3.0,2017-11-14,925000.0,for_sale,2017,11,7,0
single_family,1953,3.0,2.0,2.0,1.0,2.0,6534.0,1847.0,2.0,2022-01-19,415000.0,for_sale,2022,1,71,0
single_family,2009,3.0,2.0,2.0,1.0,4.0,10454.0,3196.0,2.0,2009-12-04,490000.0,for_sale,2009,12,15,0
single_family,1952,4.0,2.0,1.0,1.0,1.0,55321.0,2300.0,2.0,1997-03-21,500000.0,for_sale,1997,3,72,0
single_family,2012,4.0,3.0,2.0,1.0,3.0,100188.0,2863.0,1.0,2018-05-31,2500000.0,for_sale,2018,5,12,0
single_family,1950,4.0,3.0,2.0,1.0,2.0,10890.0,2958.0,2.0,2018-05-31,925000.0,for_sale,2018,5,74,0
single_family,1958,4.0,3.0,1.0,1.0,2.0,12632.0,2014.0,2.0,2017-05-22,520000.0,for_sale,2017,5,66,0
single_family,2003,3.0,3.0,3.0,1.0,3.0,8712.0,2083.0,1.0,2013-02-04,589500.0,for_sale,2013,2,21,0
single_family,2022,5.0,3.0,3.0,1.0,4.0,16553.0,3745.0,2.0,2018-05-31,799885.0,for_sale,2018,5,2,0
single_family,1960,5.0,3.0,1.0,1.0,2.0,11326.0,3200.0,2.0,2005-03-15,921000.0,for_sale,2005,3,64,0
single_family,1978,5.0,3.0,2.0,1.0,2.0,14375.0,4559.0,2.0,2018-05-31,1400000.0,for_sale,2018,5,46,0
single_family,1972,5.0,3.0,2.0,1.0,2.0,10454.0,2664.0,2.0,2018-05-31,549990.0,for_sale,2018,5,52,0
single_family,1972,5.0,3.0,1.0,1.0,2.0,8712.0,2436.0,2.0,2006-06-01,649900.0,for_sale,2006,6,52,0
single_family,1975,5.0,4.0,3.0,1.0,2.0,10019.0,4432.0,3.0,2018-05-31,1100000.0,for_sale,2018,5,49,0
condo,2003,3.0,3.0,2.0,1.0,2.0,13939.0,1606.0,2.0,2018-05-31,389990.0,for_sale,2018,5,21,0
single_family,2015,3.0,2.0,1.0,1.0,2.0,10890.0,3912.0,2.0,2018-05-31,875000.0,for_sale,2018,5,9,0
single_family,1977,5.0,4.0,2.0,1.0,2.0,8276.0,3383.0,2.0,2001-11-05,724900.0,for_sale,2001,11,47,0
single_family,2022,3.0,3.0,2.0,1.0,4.0,10454.0,1966.0,1.0,2018-05-31,799900.0,for_sale,2018,5,2,0
single_family,1971,6.0,3.0,1.0,1.0,2.0,8276.0,2667.0,2.0,2013-06-04,589900.0,for_sale,2013,6,53,0
single_family,2020,4.0,3.0,2.0,1.0,2.0,5227.0,3120.0,3.0,2020-10-19,495000.0,for_sale,2020,10,4,0
single_family,1958,3.0,1.0,1.0,1.0,2.0,8276.0,1054.0,1.0,2016-09-02,345000.0,for_sale,2016,9,66,0
single_family,2003,3.0,2.0,2.0,1.0,2.0,13939.0,1609.0,2.0,2018-05-31,407800.0,for_sale,2018,5,21,0
single_family,2020,4.0,3.0,2.0,1.0,2.0,11761.0,4069.0,3.0,2018-05-31,839900.0,for_sale,2018,5,4,0
single_family,2005,5.0,4.0,2.0,1.0,2.0,87120.0,2975.0,3.0,2018-05-31,1315000.0,for_sale,2018,5,19,0
single_family,1909,3.0,2.0,1.0,1.0,2.0,2614.0,1604.0,2.0,2019-09-09,549900.0,for_sale,2019,9,115,0
single_family,2007,5.0,4.0,4.0,1.0,2.0,87120.0,2975.0,2.0,2018-05-15,1315000.0,for_sale,2018,5,17,0
single_family,2005,5.0,3.0,3.0,1.0,2.0,8712.0,3020.0,2.0,2005-07-28,639900.0,for_sale,2005,7,19,0
single_family,1960,4.0,3.0,3.0,1.0,2.0,8712.0,1620.0,3.0,2020-06-05,484900.0,for_sale,2020,6,64,0
single_family,1974,4.0,2.0,2.0,1.0,2.0,65340.0,1250.0,1.0,2018-05-31,184900.0,for_sale,2018,5,50,0
single_family,1977,4.0,2.0,1.0,1.0,1.0,6534.0,1900.0,2.0,2018-05-31,440000.0,for_sale,2018,5,47,0
single_family,1909,2.0,1.0,1.0,1.0,2.0,21780.0,900.0,1.0,2018-05-31,299000.0,for_sale,2018,5,115,0
single_family,2021,3.0,3.0,2.0,1.0,2.0,3049.0,1495.0,2.0,2018-05-31,390000.0,for_sale,2018,5,3,0
single_family,1992,5.0,3.0,3.0,1.0,2.0,9583.0,2544.0,4.0,2013-06-20,569900.0,for_sale,2013,6,32,0
single_family,1954,4.0,2.0,1.0,1.0,1.0,7405.0,1200.0,1.0,2009-11-24,449999.0,for_sale,2009,11,70,0
single_family,1996,3.0,2.0,2.0,1.0,2.0,54450.0,1476.0,1.0,2021-03-26,535000.0,for_sale,2021,3,28,0
single_family,1926,3.0,1.0,1.0,1.0,2.0,16988.0,1060.0,2.0,2011-01-19,389000.0,for_sale,2011,1,98,0
condo,2003,3.0,3.0,2.0,1.0,2.0,13939.0,1606.0,2.0,2018-05-31,389990.0,for_sale,2018,5,21,0
single_family,1994,6.0,2.0,1.0,1.0,2.0,11761.0,2197.0,2.0,2018-05-31,519500.0,for_sale,2018,5,30,0
townhouse,2009,2.0,3.0,2.0,1.0,2.0,3920.0,1240.0,2.0,2009-07-17,395000.0,for_sale,2009,7,15,0
single_family,1919,5.0,2.0,1.0,1.0,1.0,7841.0,2816.0,2.0,2009-09-29,599000.0,for_sale,2009,9,105,0
single_family,1910,2.0,1.0,1.0,1.0,1.0,6534.0,1456.0,2.0,2017-11-21,315000.0,for_sale,2017,11,114,0
single_family,2005,3.0,2.0,2.0,1.0,2.0,4356.0,1392.0,1.0,2019-06-27,447000.0,for_sale,2019,6,19,0
single_family,2013,4.0,3.0,2.0,1.0,2.0,10890.0,2598.0,2.0,2019-11-01,575000.0,for_sale,2019,11,11,0
single_family,2002,1.0,1.0,1.0,1.0,2.0,20473.0,676.0,1.0,2018-05-31,289000.0,for_sale,2018,5,22,0
single_family,2021,3.0,3.0,3.0,1.0,2.0,3049.0,1495.0,2.0,2018-05-31,390000.0,for_sale,2018,5,3,0
single_family,1964,3.0,2.0,1.0,1.0,1.0,8712.0,1720.0,3.0,2018-05-31,634000.0,for_sale,2018,5,60,0
condo,2004,3.0,3.0,2.0,1.0,1.0,871.0,1382.0,2.0,2021-07-16,399000.0,for_sale,2021,7,20,0
